URI,lemma,pos
http://lila-erc.eu/data/id/lemma/88829,an anne annon,subordinating conjunction
http://lila-erc.eu/data/id/lemma/141558,anteaquam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/90912,antequam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/31068,apostque,subordinating conjunction
http://lila-erc.eu/data/id/lemma/93630,ceu,subordinating conjunction
http://lila-erc.eu/data/id/lemma/97202,com con cum cun qum quom,subordinating conjunction
http://lila-erc.eu/data/id/lemma/100084,donec doneque donique,subordinating conjunction
http://lila-erc.eu/data/id/lemma/100085,donicum,subordinating conjunction
http://lila-erc.eu/data/id/lemma/48112,doniquies,subordinating conjunction
http://lila-erc.eu/data/id/lemma/100240,dummodo,subordinating conjunction
http://lila-erc.eu/data/id/lemma/102560,etiamsi,subordinating conjunction
http://lila-erc.eu/data/id/lemma/102562,etsi,subordinating conjunction
http://lila-erc.eu/data/id/lemma/113491,ne,subordinating conjunction
http://lila-erc.eu/data/id/lemma/156130,nequi,subordinating conjunction
http://lila-erc.eu/data/id/lemma/156131,nequis,subordinating conjunction
http://lila-erc.eu/data/id/lemma/113704,nesei nesi nise nisei nisi noisi,subordinating conjunction
http://lila-erc.eu/data/id/lemma/113559,ni,subordinating conjunction
http://lila-erc.eu/data/id/lemma/114155,nonnisi,subordinating conjunction
http://lila-erc.eu/data/id/lemma/120753,posquam postquam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/118562,posteaquam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/119457,pri,subordinating conjunction
http://lila-erc.eu/data/id/lemma/120723,priusquam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/140008,proquam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/120211,prout,subordinating conjunction
http://lila-erc.eu/data/id/lemma/74492,quam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/121083,quamquam quanquam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/121112,quansei quase quasei quasi,subordinating conjunction
http://lila-erc.eu/data/id/lemma/156140,quanuis,subordinating conjunction
http://lila-erc.eu/data/id/lemma/121182,quein quin,subordinating conjunction
http://lila-erc.eu/data/id/lemma/121166,quia,subordinating conjunction
http://lila-erc.eu/data/id/lemma/74851,quoad,subordinating conjunction
http://lila-erc.eu/data/id/lemma/74854,quod,subordinating conjunction
http://lila-erc.eu/data/id/lemma/121347,quodsi,subordinating conjunction
http://lila-erc.eu/data/id/lemma/121287,quominus,subordinating conjunction
http://lila-erc.eu/data/id/lemma/121289,quoniam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/124676,sei sein si sin,subordinating conjunction
http://lila-erc.eu/data/id/lemma/124968,seiue seu siue,subordinating conjunction
http://lila-erc.eu/data/id/lemma/79954,semo,subordinating conjunction
http://lila-erc.eu/data/id/lemma/124722,sicunde,subordinating conjunction
http://lila-erc.eu/data/id/lemma/124723,sicut sicuti,subordinating conjunction
http://lila-erc.eu/data/id/lemma/140015,simulac simulatque,subordinating conjunction
http://lila-erc.eu/data/id/lemma/127503,siquidem,subordinating conjunction
http://lila-erc.eu/data/id/lemma/126929,superquam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/140016,tamenetsi,subordinating conjunction
http://lila-erc.eu/data/id/lemma/129157,tametsi,subordinating conjunction
http://lila-erc.eu/data/id/lemma/127617,tamquam tanquam,subordinating conjunction
http://lila-erc.eu/data/id/lemma/129643,ubiubi,subordinating conjunction
http://lila-erc.eu/data/id/lemma/131067,uerumtamen ueruntamen,subordinating conjunction
http://lila-erc.eu/data/id/lemma/130906,ut utei uti,subordinating conjunction
http://lila-erc.eu/data/id/lemma/131026,utcumque utcunque utqunque utquomque,subordinating conjunction
http://lila-erc.eu/data/id/lemma/140017,utqui,subordinating conjunction
